shard_id,split,shard_index,peak_rss_bytes,peak_rss_mb
eval-00000-of-00020,eval,0,793288704,756.5390625
eval-00001-of-00020,eval,1,800509952,763.42578125
eval-00002-of-00020,eval,2,785035264,748.66796875
eval-00003-of-00020,eval,3,820465664,782.45703125
eval-00004-of-00020,eval,4,799035392,762.01953125
eval-00005-of-00020,eval,5,841412608,802.43359375
eval-00006-of-00020,eval,6,804343808,767.08203125
eval-00007-of-00020,eval,7,844488704,805.3671875
eval-00008-of-00020,eval,8,796528640,759.62890625
eval-00009-of-00020,eval,9,834142208,795.5
eval-00010-of-00020,eval,10,841449472,802.46875
eval-00011-of-00020,eval,11,844177408,805.0703125
eval-00012-of-00020,eval,12,801845248,764.69921875
eval-00013-of-00020,eval,13,799387648,762.35546875
eval-00014-of-00020,eval,14,787849216,751.3515625
eval-00015-of-00020,eval,15,788283392,751.765625
eval-00016-of-00020,eval,16,798720000,761.71875
eval-00017-of-00020,eval,17,799219712,762.1953125
eval-00018-of-00020,eval,18,799297536,762.26953125
eval-00019-of-00020,eval,19,782286848,746.046875
train-00000-of-00406,train,0,806744064,769.37109375
train-00001-of-00406,train,1,822591488,784.484375
train-00002-of-00406,train,2,872427520,832.01171875
train-00003-of-00406,train,3,893276160,851.89453125
train-00004-of-00406,train,4,904163328,862.27734375
train-00005-of-00406,train,5,915406848,873.0
train-00006-of-00406,train,6,918208512,875.671875
train-00007-of-00406,train,7,927436800,884.47265625
train-00008-of-00406,train,8,912486400,870.21484375
train-00009-of-00406,train,9,944734208,900.96875
train-00010-of-00406,train,10,937443328,894.015625
train-00011-of-00406,train,11,945418240,901.62109375
train-00012-of-00406,train,12,951787520,907.6953125
train-00013-of-00406,train,13,944586752,900.828125
train-00014-of-00406,train,14,964849664,920.15234375
train-00015-of-00406,train,15,950939648,906.88671875
train-00016-of-00406,train,16,948965376,905.00390625
train-00017-of-00406,train,17,951676928,907.58984375
train-00018-of-00406,train,18,938274816,894.80859375
train-00019-of-00406,train,19,952328192,908.2109375
train-00020-of-00406,train,20,974651392,929.5
train-00021-of-00406,train,21,968310784,923.453125
train-00022-of-00406,train,22,964370432,919.6953125
train-00023-of-00406,train,23,960417792,915.92578125
train-00024-of-00406,train,24,958205952,913.81640625
train-00025-of-00406,train,25,969285632,924.3828125
train-00026-of-00406,train,26,961818624,917.26171875
train-00027-of-00406,train,27,967659520,922.83203125
train-00028-of-00406,train,28,964702208,920.01171875
train-00029-of-00406,train,29,975900672,930.69140625
train-00030-of-00406,train,30,985423872,939.7734375
train-00031-of-00406,train,31,970694656,925.7265625
train-00032-of-00406,train,32,974401536,929.26171875
train-00033-of-00406,train,33,970674176,925.70703125
train-00034-of-00406,train,34,975761408,930.55859375
train-00035-of-00406,train,35,972632064,927.57421875
train-00036-of-00406,train,36,981757952,936.27734375
train-00037-of-00406,train,37,989429760,943.59375
train-00038-of-00406,train,38,988835840,943.02734375
train-00039-of-00406,train,39,986886144,941.16796875
train-00040-of-00406,train,40,956243968,911.9453125
train-00041-of-00406,train,41,955207680,910.95703125
train-00042-of-00406,train,42,927846400,884.86328125
train-00043-of-00406,train,43,933376000,890.13671875
train-00044-of-00406,train,44,942141440,898.49609375
train-00045-of-00406,train,45,946782208,902.921875
train-00046-of-00406,train,46,971014144,926.03125
train-00047-of-00406,train,47,971116544,926.12890625
train-00048-of-00406,train,48,927318016,884.359375
train-00049-of-00406,train,49,917037056,874.5546875
train-00050-of-00406,train,50,914530304,872.1640625
train-00051-of-00406,train,51,930025472,886.94140625
train-00052-of-00406,train,52,935157760,891.8359375
train-00053-of-00406,train,53,942145536,898.5
train-00054-of-00406,train,54,931184640,888.046875
train-00055-of-00406,train,55,937836544,894.390625
train-00056-of-00406,train,56,954191872,909.98828125
train-00057-of-00406,train,57,945225728,901.4375
train-00058-of-00406,train,58,957538304,913.1796875
train-00059-of-00406,train,59,993902592,947.859375
